query_id	pct_identity
Q9UY56	39.489
Q9UY56	24.757
Q9UY56	29.008
Q9UY56	26.316
Q9UY56	30.263
Q9UY56	28.0
Q97BJ3	22.835
Q97BJ3	35.849
Q97BJ3	25.234
Q97BJ3	26.23
Q97BJ3	24.176
Q97BJ3	37.143
Q97BJ3	31.481
Q97BJ3	45.833
Q97BJ3	37.931
Q466Y5	35.763
Q466Y5	29.493
Q466Y5	30.112
Q466Y5	27.253
Q466Y5	30.943
Q466Y5	29.06
Q466Y5	27.273
Q466Y5	34.884
Q466Y5	30.769
Q466Y5	32.203
A5UMJ1	25.124
A5UMJ1	25.672
A5UMJ1	23.317
A5UMJ1	28.319
A5UMJ1	23.009
A5UMJ1	24.064
A5UMJ1	26.531
A5UMJ1	25.564
A5UMJ1	26.733
A5UMJ1	29.293
A5UMJ1	34.0
A5UMJ1	32.692
A5UMJ1	31.915
A5UMJ1	33.333
A5UMJ1	30.303
A3MV40	21.531
A3MV40	37.255
A3MV40	33.333
A3MV40	29.762
A3MV40	24.49
A3MV40	25.962
A3MV40	28.846
A4YHQ9	33.333
A4YHQ9	25.843
A4YHQ9	26.866
A4YHQ9	27.027
A4YHQ9	26.667
A4YHQ9	25.806
A4YHQ9	31.746
A4YHQ9	32.759
A4YHQ9	26.923
A4YHQ9	28.049
A4YHQ9	28.099
A4YHQ9	27.397
A4YHQ9	30.0
A4YHQ9	32.895
A4YHQ9	39.394
A4YHQ9	25.714
A4YHQ9	25.373
A4YHQ9	19.497
A4YHQ9	22.581
A4YHQ9	22.222
A4YHQ9	20.0
A4YHQ9	36.765
A4YHQ9	34.328
A4YHQ9	25.0
A4YHQ9	28.571
A4YHQ9	22.33
A4YHQ9	31.884
A4YHQ9	37.5
B6YWT7	29.36
B6YWT7	23.81
B6YWT7	28.169
B6YWT7	32.759
B6YWT7	35.0
B6YWT7	39.286
Q3INI7	26.21
Q3INI7	25.403
Q3INI7	21.875
Q3INI7	38.0
Q3INI7	35.417
Q3INI7	40.476
Q3INI7	30.952
A9A8T4	28.571
A9A8T4	25.352
A9A8T4	34.694
A9A8T4	34.286
A9A8T4	28.571
A9A8T4	33.929
A9A8T4	29.091
A9A8T4	25.0
A9A8T4	51.724
A9A8T4	23.75
Q9HRM7	41.667
Q9HRM7	41.667
Q9HRM7	40.0
Q9HRM7	48.485
Q9HRM7	46.154
C4KIZ2	33.226
C4KIZ2	30.588
C4KIZ2	26.061
C4KIZ2	42.105
C4KIZ2	35.897
C4KIZ2	34.722
C4KIZ2	30.909
C4KIZ2	46.875
C4KIZ2	38.889
A2BME5	36.111
A2BME5	29.87
A2BME5	31.746
A2BME5	32.0
A2BME5	35.135
A2BME5	35.135
A2BME5	30.0
A2BME5	29.688
A2BME5	32.653
A2BME5	28.926
A2BME5	71.429
A2BME5	46.154
A2BME5	37.778
A2BME5	26.471
A2BME5	30.303
A2BME5	45.833
A2BME5	25.0
A2BME5	50.0
Q8PW43	49.18
Q8PW43	25.0
Q8PW43	31.579
Q8PW43	56.25
Q8PW43	30.0
Q8PW43	30.0
Q8PW43	48.148
Q8PW43	57.143
Q8PW43	64.286
Q8PW43	36.0
Q8PW43	31.25
O28069	33.898
O28069	26.496
O28069	26.543
O28069	25.342
O28069	30.097
O28069	34.043
O28069	31.25
A3DN81	39.13
A3DN81	31.818
A3DN81	38.776
A3DN81	33.962
A3DN81	30.952
A3DN81	31.034
A3DN81	27.059
A3DN81	40.0
Q8U446	31.319
Q8U446	50.0
Q8U446	42.308
Q8U446	40.909
Q2FN14	32.075
Q2FN14	39.216
A4YED8	30.0
A4YED8	27.143
A4YED8	36.17
A4YED8	38.71
A4YED8	29.167
C4KH54	24.219
C4KH54	23.636
C4KH54	30.769
C4KH54	34.375
P0CW51	25.806
P0CW51	29.412
P0CW51	21.333
P0CW51	38.095
P0CW51	43.75
P0CW51	23.611
P0CW51	26.667
P0CW51	28.395
P0CW51	30.189
Q18KI2	28.0
Q18KI2	28.571
Q18KI2	62.5
Q18KI2	35.484
Q5JH82	24.044
Q5JH82	39.535
Q5JH82	32.653
Q5JH82	30.769
Q5JH82	29.63
Q5JH82	24.638
Q5JH82	25.926
A3CT10	39.375
A3CT10	31.395
A3CT10	35.0
A3CT10	27.778
A3CT10	32.692
A3CT10	28.378
O27350	27.5
O27350	25.325
O27350	29.126
O27350	25.0
O27350	35.385
O27350	21.978
O27350	24.771
O27350	28.049
O27350	26.0
O27350	19.658
O27350	23.158
O27350	30.0
O27350	30.928
O27350	37.037
O27350	29.268
O27350	22.826
O27350	32.468
O27350	24.561
O27350	31.818
O27350	31.915
O27350	34.615
O27350	31.579
O27350	28.704
O27350	37.037
O27350	22.115
O27350	32.941
O27350	29.545
O27350	25.0
O27350	30.0
O27350	22.917
O27350	29.091
O27350	34.921
O27350	26.761
O27350	25.532
O27350	22.826
O27350	25.882
O27350	36.842
O27350	30.864
O27350	24.031
O27350	26.042
O27350	31.818
O27350	36.538
O27350	24.242
O27350	26.168
O27350	27.619
O27350	26.761
O27350	24.272
O27350	26.761
O27350	24.0
O27350	27.358
O27350	22.321
O27350	26.786
O27350	32.787
O27350	28.302
O27350	26.471
O27350	31.707
O27350	28.916
O27350	26.471
O27350	27.381
O27350	29.487
O27350	21.918
O27350	22.059
O27350	34.615
O27350	31.343
O27350	26.415
O27350	32.0
O27350	38.235
O27350	22.892
O27350	27.869
O27350	26.761
O27350	26.667
O27350	28.788
O27350	24.528
O27350	31.579
Q8ZSP2	33.588
Q8ZSP2	25.352
Q8ZSP2	32.184
Q8ZSP2	33.962
O28098	54.064
O28098	31.008
O28098	40.541
O28098	25.424
Q96YC2	26.786
Q96YC2	32.051
Q96YC2	24.638
Q96YC2	37.209
Q9HJ69	23.846
Q9HJ69	22.817
Q9HJ69	26.761
Q9HJ69	38.235
Q9HJ69	27.473
Q9HJ69	36.735
Q9HJ69	31.25
Q9HJ69	32.308
B8GKC9	43.333
B8GKC9	35.484
B8GKC9	36.364
B8GKC9	47.368
Q8U0K8	23.871
Q8U0K8	27.0
Q8U0K8	35.714
Q8PVG9	31.278
Q8PVG9	29.148
Q8PVG9	27.203
Q8PVG9	29.384
Q8PVG9	32.9
Q8PVG9	28.879
Q8PVG9	29.817
Q8PVG9	28.319
Q8PVG9	29.167
Q8PVG9	28.017
Q8PVG9	26.953
Q8PVG9	31.278
Q8PVG9	27.948
Q8PVG9	31.016
Q8PVG9	27.308
Q8PVG9	31.727
Q8PVG9	29.386
Q8PVG9	27.885
Q8PVG9	24.752
Q8PVG9	23.529
Q8PVG9	27.805
Q8PVG9	26.214
Q8PVG9	26.131
Q8PVG9	22.959
Q8PVG9	27.753
Q8PVG9	26.131
Q8PVG9	25.362
Q8PVG9	24.576
Q8PVG9	29.204
